_id,address.building,address.coord,address.street,address.zipcode,borough,cuisine,grades,name,restaurant_id
623dfc93033c411989315af3,1007,"[-73.856077,40.848447]",Morris Park Ave,10462,Bronx,Bakery,"[{""date"":{""$date"":""2014-03-03T00:00:00Z""},""grade"":""A"",""score"":2},{""date"":{""$date"":""2013-09-11T00:00:00Z""},""grade"":""A"",""score"":6},{""date"":{""$date"":""2013-01-24T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2011-11-23T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2011-03-10T00:00:00Z""},""grade"":""B"",""score"":14}]",Morris Park Bake Shop,30075445
623dfc93033c411989315af4,469,"[-73.961704,40.662942]",Flatbush Avenue,11225,Brooklyn,Hamburgers,"[{""date"":{""$date"":""2014-12-30T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2014-07-01T00:00:00Z""},""grade"":""B"",""score"":23},{""date"":{""$date"":""2013-04-30T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-05-08T00:00:00Z""},""grade"":""A"",""score"":12}]","Wendy'S",30112340
623dfc93033c411989315af5,351,"[-73.98513559999999,40.7676919]",West   57 Street,10019,Manhattan,Irish,"[{""date"":{""$date"":""2014-09-06T00:00:00Z""},""grade"":""A"",""score"":2},{""date"":{""$date"":""2013-07-22T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2012-07-31T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2011-12-29T00:00:00Z""},""grade"":""A"",""score"":12}]",Dj Reynolds Pub And Restaurant,30191841
623dfc93033c411989315af6,2780,"[-73.98241999999999,40.579505]",Stillwell Avenue,11224,Brooklyn,American ,"[{""date"":{""$date"":""2014-06-10T00:00:00Z""},""grade"":""A"",""score"":5},{""date"":{""$date"":""2013-06-05T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2012-04-13T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2011-10-12T00:00:00Z""},""grade"":""A"",""score"":12}]",Riviera Caterer,40356018
623dfc93033c411989315af7,97-22,"[-73.8601152,40.7311739]",63 Road,11374,Queens,Jewish/Kosher,"[{""date"":{""$date"":""2014-11-24T00:00:00Z""},""grade"":""Z"",""score"":20},{""date"":{""$date"":""2013-01-17T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2012-08-02T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2011-12-15T00:00:00Z""},""grade"":""B"",""score"":25}]",Tov Kosher Kitchen,40356068
623dfc93033c411989315af8,8825,"[-73.8803827,40.7643124]",Astoria Boulevard,11369,Queens,American ,"[{""date"":{""$date"":""2014-11-15T00:00:00Z""},""grade"":""Z"",""score"":38},{""date"":{""$date"":""2014-05-02T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-03-02T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2012-02-10T00:00:00Z""},""grade"":""A"",""score"":13}]",Brunos On The Boulevard,40356151
623dfc93033c411989315af9,2206,"[-74.1377286,40.6119572]",Victory Boulevard,10314,Staten Island,Jewish/Kosher,"[{""date"":{""$date"":""2014-10-06T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2014-05-20T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-04-04T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-01-24T00:00:00Z""},""grade"":""A"",""score"":9}]",Kosher Island,40356442
623dfc93033c411989315afa,7114,"[-73.9068506,40.6199034]",Avenue U,11234,Brooklyn,Delicatessen,"[{""date"":{""$date"":""2014-05-29T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2014-01-14T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-08-03T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2012-07-18T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2012-03-09T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2011-10-14T00:00:00Z""},""grade"":""A"",""score"":9}]","Wilken'S Fine Food",40356483
623dfc93033c411989315afb,6409,"[-74.00528899999999,40.628886]",11 Avenue,11219,Brooklyn,American ,"[{""date"":{""$date"":""2014-07-18T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-07-30T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-02-13T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2012-08-16T00:00:00Z""},""grade"":""A"",""score"":2},{""date"":{""$date"":""2011-08-17T00:00:00Z""},""grade"":""A"",""score"":11}]",Regina Caterers,40356649
623dfc93033c411989315afc,1839,"[-73.9482609,40.6408271]",Nostrand Avenue,11226,Brooklyn,"Ice Cream, Gelato, Yogurt, Ices","[{""date"":{""$date"":""2014-07-14T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2013-07-10T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2012-07-11T00:00:00Z""},""grade"":""A"",""score"":5},{""date"":{""$date"":""2012-02-23T00:00:00Z""},""grade"":""A"",""score"":8}]",Taste The Tropics Ice Cream,40356731
